Not being able to stop or control worrying,12
Trouble relaxing,13
Being so restless that it is hard to sit still,14
"Feeling afraid, as if something awful might happen",10
Becoming easily annoyed or irritable,8
Worrying too much about different things,1
Not being able to stop or control worrying,12
Trouble relaxing,13
Being so restless that it is hard to sit still,14
"Feeling afraid, as if something awful might happen",10
Becoming easily annoyed or irritable,8
Worrying too much about different things,1
Not being able to stop or control worrying,12
Trouble relaxing,13
Being so restless that it is hard to sit still,14
"Feeling afraid, as if something awful might happen",10
Becoming easily annoyed or irritable,8
Worrying too much about different things,1
Not being able to stop or control worrying,12
Trouble relaxing,13
Being so restless that it is hard to sit still,14
"Feeling afraid, as if something awful might happen",10
Becoming easily annoyed or irritable,8
Worrying too much about different things,1
Not being able to stop or control worrying,12
Trouble relaxing,13
Being so restless that it is hard to sit still,14
"Feeling afraid, as if something awful might happen",10
Becoming easily annoyed or irritable,8
Worrying too much about different things,1
Not being able to stop or control worrying,12
Trouble relaxing,13
Being so restless that it is hard to sit still,14
"Feeling afraid, as if something awful might happen",10
Becoming easily annoyed or irritable,8
Worrying too much about different things,1
Not being able to stop or control worrying,12
Trouble relaxing,13
Being so restless that it is hard to sit still,14
"Feeling afraid, as if something awful might happen",10
Becoming easily annoyed or irritable,8
Worrying too much about different things,1
Not being able to stop or control worrying,12
Trouble relaxing,13
Being so restless that it is hard to sit still,14
"Feeling afraid, as if something awful might happen",10
Becoming easily annoyed or irritable,8
Worrying too much about different things,1
Not being able to stop or control worrying,12
Trouble relaxing,13
Being so restless that it is hard to sit still,14
"Feeling afraid, as if something awful might happen",10
Becoming easily annoyed or irritable,8
Worrying too much about different things,1
Not being able to stop or control worrying,12
Trouble relaxing,13
Being so restless that it is hard to sit still,14
"Feeling afraid, as if something awful might happen",10
Becoming easily annoyed or irritable,8
Worrying too much about different things,1
Not being able to stop or control worrying,12
Trouble relaxing,13
Being so restless that it is hard to sit still,14
"Feeling afraid, as if something awful might happen",10
Becoming easily annoyed or irritable,8
Worrying too much about different things,1
Not being able to stop or control worrying,12
Trouble relaxing,13
Being so restless that it is hard to sit still,14
"Feeling afraid, as if something awful might happen",10
Becoming easily annoyed or irritable,8
Worrying too much about different things,1
Not being able to stop or control worrying,12
Trouble relaxing,13
Being so restless that it is hard to sit still,14
"Feeling afraid, as if something awful might happen",10
Becoming easily annoyed or irritable,8
Worrying too much about different things,1
Not being able to stop or control worrying,12
Trouble relaxing,13
Being so restless that it is hard to sit still,14
"Feeling afraid, as if something awful might happen",10
Becoming easily annoyed or irritable,8
Worrying too much about different things,1
Not being able to stop or control worrying,12
Trouble relaxing,13
Being so restless that it is hard to sit still,14
"Feeling afraid, as if something awful might happen",10
Becoming easily annoyed or irritable,8
Worrying too much about different things,1
Not being able to stop or control worrying,12
Trouble relaxing,13
Being so restless that it is hard to sit still,14
"Feeling afraid, as if something awful might happen",10
Becoming easily annoyed or irritable,8
Worrying too much about different things,1
Not being able to stop or control worrying,12
Trouble relaxing,13
Being so restless that it is hard to sit still,14
"Feeling afraid, as if something awful might happen",10
Becoming easily annoyed or irritable,8
Worrying too much about different things,1
Not being able to stop or control worrying,12
Trouble relaxing,13
Being so restless that it is hard to sit still,14
"Feeling afraid, as if something awful might happen",10
Becoming easily annoyed or irritable,8
Worrying too much about different things,1
Not being able to stop or control worrying,12
Trouble relaxing,13
Being so restless that it is hard to sit still,14
"Feeling afraid, as if something awful might happen",10
Becoming easily annoyed or irritable,8
Worrying too much about different things,1
Not being able to stop or control worrying,12
Trouble relaxing,13
Being so restless that it is hard to sit still,14
"Feeling afraid, as if something awful might happen",10
Becoming easily annoyed or irritable,8
Worrying too much about different things,1
Not being able to stop or control worrying,12
Trouble relaxing,13
Being so restless that it is hard to sit still,14
"Feeling afraid, as if something awful might happen",10
Becoming easily annoyed or irritable,8
Worrying too much about different things,1
Not being able to stop or control worrying,12
Trouble relaxing,13
Being so restless that it is hard to sit still,14
"Feeling afraid, as if something awful might happen",10
Becoming easily annoyed or irritable,8
Worrying too much about different things,1
Not being able to stop or control worrying,12
Trouble relaxing,13
Being so restless that it is hard to sit still,14
"Feeling afraid, as if something awful might happen",10
Becoming easily annoyed or irritable,8
Worrying too much about different things,1
Not being able to stop or control worrying,12
Trouble relaxing,13
Being so restless that it is hard to sit still,14
"Feeling afraid, as if something awful might happen",10
Becoming easily annoyed or irritable,8
Worrying too much about different things,1
Not being able to stop or control worrying,12
Trouble relaxing,13
Being so restless that it is hard to sit still,14
"Feeling afraid, as if something awful might happen",10
Becoming easily annoyed or irritable,8
Worrying too much about different things,1
Not being able to stop or control worrying,12
Trouble relaxing,13
Being so restless that it is hard to sit still,14
"Feeling afraid, as if something awful might happen",10
Becoming easily annoyed or irritable,8
Worrying too much about different things,1
Not being able to stop or control worrying,12
Trouble relaxing,13
Being so restless that it is hard to sit still,14
"Feeling afraid, as if something awful might happen",10
Becoming easily annoyed or irritable,8
Worrying too much about different things,1
Not being able to stop or control worrying,12
Trouble relaxing,13
Being so restless that it is hard to sit still,14
"Feeling afraid, as if something awful might happen",10
Becoming easily annoyed or irritable,8
Worrying too much about different things,1
Not being able to stop or control worrying,12
Trouble relaxing,13
Being so restless that it is hard to sit still,14
"Feeling afraid, as if something awful might happen",10
Becoming easily annoyed or irritable,8
Worrying too much about different things,1
Not being able to stop or control worrying,12
Trouble relaxing,13
Being so restless that it is hard to sit still,14
"Feeling afraid, as if something awful might happen",10
