text,symptom
"आजचा दिवस खूपच exhausting होता. Study load खूप जास्त आहे, आणि मला एकच विषयावर ध्यान केंद्रित करायला त्रास होतो. मी एकाच विषयावरून दुसऱ्या विषयाकडे जात असतो, आणि असं वाटतं की प्रगती काहीच नाही होऊ शकत. आज marketing च्या नोट्स रिव्ह्यू करायला होत्या, पण दुसऱ्या गोष्टीमध्ये distract झाले. असं वाटतं की करायचं खूप काही आहे आणि वेळ कमी आहे. Exam साठी वेळेवर तयारी नाही होईल, याची चिंता मला खूप होत आहे, आणि हे मला खूप drain करतं. मला माहित आहे की थोडा break घेऊन relax होणं गरजेचं आहे, पण जेव्हा त्यासाठी वेळ काढण्याचा प्रयत्न करते, तेव्हा माझं mind धावू लागते, आणि ज्या गोष्टी अजून शिकायच्या आहेत त्याच विचारांमध्ये हरवले जातं. आशा आहे की उद्या काहीतरी चांगलं होईल.
",0
"आज थोडं चांगलं होतं, असं म्हणता येईल. कमीत कमी आज laptop roomभर फेकण्याची इच्छा झाली नाही. अखेर, त्या project वर काम करून पूर्ण केलं, आणि थोडं accomplishment चं feeling आलं. पण ते जास्त वेळ टिकलं नाही—माझं मन लगेच दुसऱ्या गोष्टीकडे जातं, जी माझ्या to-do list वर होती. काहीतरी pending असतंच, काहीतरी असं ज्याचं काम अजून चांगलं करता आलं असतं.संध्याकाळी मी जास्त वेळ library मध्ये होतो, assignments मध्ये थोडं पुढे जायचं म्हणून. पण कितीही planning केली, तरी तेच वाटतं की ते अजिबात enough नाही. काय होईल जर काही important चुकलं? काय होईल जर final exams मध्ये logic मध्ये चुक केली? हे विचार सतत मनात घोळत राहतात.संध्याकाळी मित्रांसोबत cricket खेळलो, ते बरं वाटलं. काही मिनिटं, deadlines किंवा algorithms चं काहीच आठवलं नाही—सर्व काही फक्त त्या moment मध्ये होतं. पण जरा तिथून room मध्ये परत आलो, आणि चिंता परत आली.माझ्या कामावर कधी satisfaction मिळेल का, हेच माहित नाही.
",0
"आजचा दिवस थोडा neutral होता, असं वाटतं. काही विशेष तणावाचं नव्हतं, काही विशेष चांगलंही नव्हतं. फक्त lectures, assignments, आणि थोडं coding—साधारण दिवस होता.आज मला अगदी अस्वस्थ वाटलं नाही, आणि हे चांगलंच होतं. कदाचित त्याचं कारण हे असावं की कामावर चिंता करण्याऐवजी, मी YouTube वर काही random tech videos पाहत होतो. ते पाहून लक्षात आलं की मी या क्षेत्रात का आलो होतो—माझं प्रेम तंत्रज्ञानावर आहे, आणि मला problems सोडवायला आवडतं. पण perfection च्या मागे धावत असताना, मी हे विसरतोय.कदाचित मला अशा दिवसांची आवश्यकता आहे, जेव्हा फक्त थोडं श्वास घेता येईल. पण हे करताना guilty feel होतो. एक विचित्र cycle आहे—जेव्हा मी जास्त काम करतो, तेव्हा overwhelmed होतो, आणि जेव्हा break घेतो, तेव्हा वेळ वाया जातो असं वाटतं.तरीही, उद्या नवीन दिवस आहे. पाहूया, कसा जातो.",0
"आज काय झालंय, समजत नाही. सगळं काही irritate करतंय—प्रत्येक छोटा आवाज, प्रत्येक छोटी distraction. माझं patience संपून चाललंय, आणि कशामुळे तेही सांगू शकत नाही. कदाचित ते assignments चं ढिगानं आहे, जे अजून पेंडिंग आहेत. कदाचित त्या code च्या तुकड्यावर अडकलोय, ज्याचं सॉल्यूशन सोपं असावं. किंवा कदाचित मी खूप exhausted आहे.एक मित्र संध्याकाळी फोन करून विचारतो, की ह्या weekend ला एक छोटी trek करायला जाऊ का? जवळ जवळ हो म्हणालो. हवेतील ताजेपणाची आठवण येते, आणि डोंगराच्या शिखरावर उभं राहून मिळालेलं satisfaction. पण मग मनात विचार आला—ज्या गोष्टी अजून बाकी आहेत, त्या लक्षात घेतल्यावर break घेणं कसं afford करू शकतो? मी त्याला विचार करतो सांगितलं, पण आम्ही दोघंही जाणं जाणून घेऊ, असं काही होणार नाही.मला ते आवडतं नाही की मी काही enjoy करू शकत नाही, आणि guilty वाटतं
",15
" आज उठल्यावर छातीमध्ये एक विचित्र feeling होती. कसं सांगावं, कसंही—असं वाटतंय की काहीतरी चुकीचं होणार आहे. प्रत्यक्षात काही वाईट घडलेलं नाही, पण मी संपूर्ण दिवस त्या uneasiness सोबतच होतो. क्लासमध्ये बसले तरी, मी मनाने हरवलो होतो, आणि अशा गोष्टींची चिंता करत होतो ज्या काही तरी अर्थही नसतात.काय होईल जर final project मध्ये चुकलो? काय होईल जर चांगल्या कंपनीमध्ये जॉइन होऊ शकलो नाही? काय होईल, या सगळ्या प्रयत्नांनंतरही, मी पुरेसा चांगला नाही असं वाटलं तर?मला माहीत आहे की मी overthink करतो. माहीत आहे की मी irrational विचार करतो. पण हे माहीत असलं तरी, ते थांबवणं अजिबात सोपं नाही.कदाचित आज लवकर झोपायला पाहिजे, पण माझं मन अजून विश्रांतीला तयार नाही. कदाचित मी अजून काम करत राहीन
","12,16"
"आश्चर्यकारकपणे, आज ठीक होतं. अखेर, त्या bug ला fixed केलं ज्याच्यावर मी कित्येक दिवस अडकलो होतो, आणि जेव्हा ते होतं, तेव्हा जो relief वाटला, तो अशक्य होता. हे लक्षात आणून दिलं की, कितीही frustrating गोष्टी होवोत, नेहमीच एक solution असतो.संध्याकाळी थोडा ब्रेक घेतला आणि काही classmate सोबत chai प्यायला गेलो. coding आणि deadlines च्या बाहेर काहीतरी बोलायला खरंच छान वाटलं. आमच्या professors बद्दल joke केल्या, कॉलेजमधल्या funny incidents शेअर केल्या—साधीशी conversation होती, पण ती खूप मदत झाली.अशा दिवसांमध्ये मला लक्षात येतं की मी स्वतःवर नेहमी इतका जास्त दबाव आणू नये. पण आव्हान म्हणजे, ते वाईट दिवसांमध्ये  लक्षात ठेवणं.
",0
"आज थोड्या कमी होऊन गेलोय असं वाटतं. विचित्र आहे कारण काही विशेष वाईट नाही, पण तरीही ह्या सततच्या भीती  च्या भावनेला काढता येत नाही. काय होईल जर माझं संपूर्ण academic journey एक mistake असेल? काय होईल जर मी ह्या career path साठी योग्य नसलो? मी स्वतःला सांगत आहे की हे फक्त stress आहे, पण ते नाकारणं कठीण आहे.संपूर्ण दिवस lab मध्ये project वर काम करत होतो, पण माझं लक्ष तसं राहिलं नाही. भविष्याबद्दल विचार करत होतो—graduation नंतर काय करायचं? मी माझ्या स्वतःच्या expectations ला meet करू शकेन का? मला भीती वाटते की ज्यासाठी काम करत आहे, ते सगळं एका क्षणात बिघडू शकतं, आणि मी फेल होऊ शकतो.माझ्या मनाला थोडं clear करण्यासाठी walk वर जायचं प्रयत्न केला, पण त्या वेळी देखील unease कायम होती. कदाचित मला एक खऱ्या अर्थाने break घेणं गरजेचं आहे. पण break घेण्याची भीती वाटते, कारण असं केल्यास मागे पडेन असं वाटतं.","12,16"
" आज काय झालं, माहित नाही, पण मी स्वतःवर खूप गर्व करत आहे. खूप काम केलं, आणि मला overwhelmed वाटलं नाही, जे माझ्यासाठी एक खूपच दुर्मिळ feeling आहे. दिवस परफेक्ट गेला असं नाही, पण तरीही somehow मी माझं लक्ष ठेऊन, प्रत्येक गोष्टीला एक टप्पा टप्प्यात हाताळायला यशस्वी झालो.पहिल्यांदाच, मी प्रत्येक छोट्या निर्णयावर सतत second-guess केलं नाही. असं वाटलं की मी खरंच control मध्ये आहे, आणि काही काळानंतर, मला असं वाटलं नाही की काही awful होईल.माझ्या मनाला अजून जास्त वेळा आठवणी देण्याची आवश्यकता आहे की मी perfect असं होण्याची गरज नाही. मी चुकू शकतो, आणि ते ठीक आहे.
",0
" आज परत असं वाटतंय की सगळं भार माझ्या खांद्यावर आहे. काय झालंय मला, समजत नाही—मी माझ्या best friend वर राग काढला, आणि तोही खूप छोट्या गोष्टीवर. assignment बद्दल चर्चा करत होतो, आणि अचानक काही कारण नसताना irritate झालो.सर्व काही आज irritate करतंय. लोक कसं बोलतात, गोष्टी कशा प्लॅन प्रमाणे होत नाहीत, आणि जास्त चांगलं करायचं त्याचं pressure. माहीत आहे की मी अनरिझनबल आहे, पण मी थांबवू शकत नाही. असं वाटतं की मी कायम clock च्या विरुद्ध धावत आहे.कसंतरी याचं feeling थांबवायचं आहे. माहीत आहे की relax व्हावं, पण प्रत्येक वेळी ते करण्याचा प्रयत्न करताना, माझं मन त्याच सगळ्या गोष्टींमध्ये अडकतं ज्यांना अजून करायचं आहे. मी थकलोय, आणि असं वाटतं की कधी तरी मी तुटून जाईन.","12,15"
" आज तितके वाईट नव्हतं. मी काही वेळ आपल्याला आवडणाऱ्या गोष्टीत खर्च केला—एक छोटं side project ज्यावर मी विचार करत होतो. ते काही मोठं नव्हतं, पण ते काम करताना deadline च्या दबावाशिवाय काहीतरी करण्याचा आनंद मिळाला.पण तरीही, मला तो सतत जाणवणारा विचार सुटत नव्हता की मी अजून काहीतरी करायला हवं. मी अधिक अभ्यास करायला हवं, अधिक योजना तयार करायला हवं, आणि अधिक मिळवायला हवं. हे exhausting आहे.संध्याकाळी त्या frustration ने पुन्हा तोंड उचललं. माझ्या roommate ने विचारलं की मी त्याच्यासोबत डिनरला येईल का, आणि मी त्याच्यावर चिडलो. मी तसं उद्देशून नाही केलं, पण असं वाटलं की सगळं काही माझ्या विचारांत अडथळा आणत आहे. असं वाटत होतं की मला फक्त शांतता हवी होती, आणि प्रत्येक लहानसा विचलन irritate करत होतं. त्यानंतर मला वाईट वाटलं, पण मी त्याला थांबवू शकत नव्हतो.मी विचार करत आहे की कधी मी या brain च्या भागाला बंद करू शकेन का? कधी मी फक्त तिथे असलेल्या गोष्टींमध्ये आनंदी होऊ शकेन, सतत सुधारण्याची गरज न बघता?
","15,16"
